_id,ciudad,pobreza extrema (%),carencia por acceso a la alimentación (%),pobreza extrema y con carencia por acceso a la alimentación (%)
56,Zacatecas-Guadalupe,3.772490053783914,19.37127583568162,3.492105339041754
137,Fresnillo,8.011128278529247,26.17515190005403,7.06923
55,Mérida,4.17362127472494,19.401215383180663,3.6731249295054913
361,San Andrés Tuxtla,22.649628459117444,20.342026562887703,11.93244
49,Poza Rica,18.15332218153322,28.91217203912172,10.752210555819282
50,Orizaba,12.551270089953704,21.169674763422012,8.201244145766744
53,Córdoba,8.052968359841365,19.520783979933487,5.305248302669885
54,Acayucan,19.03296666443088,22.60295794486552,11.237727301462206
46,Tlaxcala-Apizaco,7.077055289619944,22.773837825681884,5.913055903717031
43,Reynosa-Río Bravo,4.3150215037646005,13.180279952495704,3.389367744554878
344,Ciudad Mante,4.137506790656057,13.293707857987409,3.48466
41,Villahermosa,5.769056983336804,28.507515660627682,4.918103146794074
123,Cárdenas,20.381491859405827,41.28021690981232,17.5232
336,San Luis Río Colorado,4.918329115588129,27.770839495623406,4.32656
348,Ciudad Victoria,2.70290550617338,11.677364690580633,2.47111
335,Puerto Peñasco,7.315883596163225,23.118192163875793,6.62739
334,Heroica Nogales,5.145615641998616,24.21490924724751,4.39072
326,Agua Prieta,7.128634502887814,25.818420173887237,6.31028
323,Guamúchil,3.041738818892936,22.026631635516807,2.7146400000000006
205,Valle de Santiago,12.331766372593213,24.817277352051,9.35477
20,Tula,6.592803959160016,25.771991617994562,5.450540740514512
71,San Luis de la Paz,13.63470486269501,34.6665450232643,11.95653
15,San Francisco del Rincón,7.332572276927056,19.5126614667394,5.649941182186782
45,Nuevo Laredo,3.463076512929885,12.339109570781124,2.4962099999999996
4,La Laguna,4.173984794011906,18.847089728801286,3.5938322255218114
40,Guaymas,5.429838580033854,28.69294272286263,5.217076997229288
16,Moroleón-Uriangato,7.5340672231939925,18.819980518052223,5.505664288123343
17,Acapulco,15.444784202049439,41.123806633832075,12.129842695642026
212,Zihuatanejo,13.386969027470924,35.25282421109675,9.8547
197,Cortazar,6.856321777453703,24.335974779373128,5.87921
44,Matamoros,4.558014083455235,13.987471611250951,3.7898300000000003
194,Acámbaro,8.742141009735684,18.577706751897725,6.54122
48,Xalapa,6.455436928550498,22.071381424135776,5.2039600699429025
13,Valle de México,4.323869567121326,23.2328622045419,3.852822481285982
58,Tianguistenco,13.00990936752526,33.988805180858165,11.451994287632004
186,Nuevo Casas Grandes,4.445035100611329,16.648165230851014,3.9237800000000003
181,Delicias,2.0550657103263434,13.204501499992386,1.99147
47,Veracruz,5.4672173718269015,21.948004637344408,4.516811181821315
11,Juárez,4.784382177867949,18.831374556000316,4.36534
106,Acatzingo de Hidalgo,24.39030876838382,29.117576660195212,15.719255572458177
180,Cuauhtémoc,5.086363424740444,15.700218818380742,4.32951
254,Ciudad Hidalgo,17.27790861575367,36.15272147853722,13.33789
264,Sahuayo de Morelos,7.311295523665429,26.352146470435407,5.86807
182,Hidalgo del Parral,2.0960794534829486,16.35435814425636,1.8994199999999999
148,Ciudad Acuña,3.4399487106425415,25.301324975067672,3.15268
198,Dolores Hidalgo Cuna de la Independencia Nacional,15.644460110445307,32.65039360827165,13.18318
63,Campeche,5.646530166861162,26.992937574829877,5.25406
57,Celaya,6.45972380879455,22.225937970274362,5.573195148276579
172,San Cristóbal de las Casas,21.25677009684907,25.733705077239133,15.4698
14,León,4.993514174528706,20.546352223180968,4.251773175494438
3,Mexicali,2.6432653671083313,16.421394152521117,2.0336
31,Monterrey,1.5679549650953746,15.222330760359712,1.4374209062521304
144,La Paz,2.787795806308182,23.717084600780584,2.7242599999999997
38,San Luis Potosí-Soledad de Graciano Sánchez,3.4603018757054587,21.151475256196413,3.178537751812575
7,Piedras Negras,2.40342228458606,19.17460356881201,2.202634137226658
308,Ciudad Valles,6.785643892562132,27.88618323209518,6.05555
27,La Piedad-Pénjamo,13.926241096794623,30.172556050611682,10.958656988185552
65,Manzanillo,2.7126784890392646,23.772906339836034,2.4159900000000003
10,Tuxtla Gutiérrez,11.04701826172615,20.2748099315501,8.0738588319315
30,Tepic,2.2179186073018773,19.111954173472398,2.0863399536966356
8,Colima-Villa de Álvarez,1.4713342026451919,16.871623654835428,1.2231465469786635
134,Túxpam de Rodríguez Cano,9.939964948479236,33.46425863547661,8.27188
301,San Juan del Río,4.797364140220455,22.547197536332064,4.33528
2,Tijuana,3.4150654295502876,15.86770029972693,2.779677014870832
62,Cabo San Lucas,5.634873896975289,27.139856345956776,5.43546
281,Linares,3.9246794871794872,20.317307692307693,3.6584899999999996
145,Ciudad del Carmen,8.3756111867419,31.012173395374898,7.25267
5,Saltillo,2.3790872530162614,21.72232907851023,2.231790700402168
1,Aguascalientes,2.7591826232390595,18.744987885155563,2.4349833242168235
25,Morelia,5.781080389195711,25.635578504934404,4.89448268027489
333,Navojoa,6.256508003741551,32.73209673908568,5.82711
160,Comitán de Domínguez,16.58483485197957,27.273972915572404,12.25934
314,Los Mochis,3.1822828243514985,26.135786645909242,2.94004
69,Irapuato,6.532223415682062,24.455066237021125,5.92715
66,Tapachula de Córdova y Ordóñez,17.5018937282029,22.246788352321882,12.05834
12,Chihuahua,2.0243732141075963,12.338572928951553,1.8645841798243297
21,Guadalajara,3.06318422597636,19.924095825932074,2.8045408337902376
73,Chilpancingo de los Bravo,14.871093364882185,28.89143580137369,10.670300000000001
6,Monclova-Frontera,1.6883100828857338,18.151419441371168,1.6187399620493357
42,Tampico,6.183165251702679,13.376685917639419,4.568260417038336
98,Zitácuaro,14.953896636587366,37.85857260049221,12.244850000000001
34,Puebla-Tlaxcala,9.094953110872812,26.518344319687127,6.624330703869144
268,Zacapu,6.938750610053685,27.000976085895555,5.9137200000000005
9,Tecomán,4.850905262806106,22.253507005656324,3.802562542756645
215,Taxco de Alarcón,17.61371105560668,31.18016300775601,12.87396
51,Minatitlán,12.094751098991086,32.64451960246548,9.493337685164727
224,Arandas,13.706004765207949,32.01586392013753,10.67455
228,Ciudad Guzmán,1.4513459990776494,22.535198531472957,1.29073
52,Coatzacoalcos,5.373603215329834,26.999938510729876,4.8417455386739565
127,Huamantla,11.510091988382973,26.178411286500676,9.34277
234,Lagos de Moreno,6.037294036877207,36.05641918399372,5.489920000000001
23,Ocotlán,9.249903373640329,27.50400309204351,8.569488144497821
22,Puerto Vallarta,5.10404041548203,24.002356059490502,4.741248664068961
201,Salamanca,5.020221897175248,22.606783192499133,4.39613
119,Chetumal,8.623902884966238,29.046623220192018,7.82431
104,San Juan Bautista Tuxtepec,14.236046232282519,24.811814323465818,10.44969
242,Tepatitlán de Morelos,3.2238784730869114,26.279839197410084,2.8319400000000003
195,San Miguel de Allende,21.31572539639343,33.96092642193162,17.26492
24,Toluca,9.024090801915555,34.429123417353736,8.24731577248538
252,Apatzingán de la Constitución,13.141135573580534,28.661877172653533,9.78425
59,Teziutlán,13.063290719736198,28.367730763813515,9.472069824353547
286,Heroica Ciudad de Huajuapan de León,7.140532062853254,15.71331340810227,5.05048
154,Sabinas,2.019877624150637,17.916906122173014,1.8554000000000002
26,Zamora-Jacona,9.90240900662033,23.971123308264467,7.90516873206048
94,Ciudad Lázaro Cárdenas,6.0090168305355895,31.50910717512307,5.53731
95,Uruapan,12.428598772956692,31.442732941780925,10.59487
132,Martínez de la Torre,21.426982580749083,22.473211477836667,10.748876209951447
327,Heroica Caborca,5.4583861427967895,27.987205021425552,4.950899999999999
29,Cuautla,8.533562066548814,22.057500601470725,6.461006006966599
188,Victoria de Durango,5.06098317783803,17.468442057677482,4.511620000000001
28,Cuernavaca,4.700070473837577,21.614484353224377,3.754118036412802
287,Heroica Ciudad de Juchitán de Zaragoza,11.331237294341957,17.102920565172923,6.9236699999999995
32,Oaxaca,7.229417866030391,16.170741941425167,4.524108737521101
33,Tehuantepec,11.619217510787552,22.313357278885327,7.822266653870259
35,Tehuacán,10.179963139709118,27.575374371944335,7.373203988941913
211,Iguala de la Independencia,10.092453902174475,23.89634537767382,5.81156
294,Atlixco,13.749125126370634,24.318462641815934,9.52172
260,Pátzcuaro,14.142656152090897,36.25400503659214,11.71194
303,Cozumel,4.18103615298175,21.03692796528074,3.6151999999999997
36,Querétaro,3.871467321328967,18.895002588742926,3.487025113126701
37,Cancún,3.2744053760142764,18.090092853358613,2.7215620021191755
305,Playa del Carmen,4.312774797818798,21.86102150024497,3.5265999999999997
19,Tulancingo,11.955595435095297,27.01833807529117,8.93726403681142
39,Ríoverde-Ciudad Fernández,11.950793755352084,27.671925433107177,10.107347184391674
18,Pachuca,4.096337811118865,22.229915387299375,3.606530567919138
310,Matehuala,5.766077891545766,25.019333683917466,5.08796
68,Guanajuato,5.0588254074677135,22.200405472279424,4.53424
321,Mazatlán,2.94503370143322,16.821859831129192,2.6264499999999997
